
Predictions were generated on 09-Dec-2020 at 17:18:24 using AA AeroAcoustics (v1.00.00, 18-Aug-2016)

Number of observers      :    2
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1                	Obs2                
      (s)           	OASPL               	OASPL               
         0.0000	  5.972896E+001	  4.247486E+001
         0.1000	  7.959444E+001	  6.053321E+001
         0.2000	  7.978022E+001	  6.108068E+001
         0.3000	  7.974155E+001	  6.164069E+001
         0.4000	  7.962589E+001	  6.224219E+001
         0.5000	  7.953661E+001	  6.252202E+001
         0.6000	  7.966779E+001	  6.308007E+001
         0.7000	  7.986428E+001	  6.447681E+001
         0.8000	  8.011347E+001	  6.267796E+001
         0.9000	  8.014873E+001	  6.207373E+001
         1.0000	  7.996149E+001	  6.184847E+001
         1.1000	  7.988405E+001	  6.203082E+001
         1.2000	  7.987178E+001	  6.228032E+001
         1.3000	  7.973083E+001	  6.248743E+001
         1.4000	  7.964722E+001	  6.301576E+001
         1.5000	  7.972403E+001	  6.361703E+001
         1.6000	  7.973644E+001	  6.383675E+001
         1.7000	  7.965625E+001	  6.389420E+001
         1.8000	  7.965115E+001	  6.401076E+001
         1.9000	  7.973114E+001	  6.401282E+001
         2.0000	  7.982527E+001	  6.392631E+001
         2.1000	  7.988588E+001	  6.379679E+001
         2.2000	  7.985937E+001	  6.345172E+001
         2.3000	  7.976834E+001	  6.295190E+001
         2.4000	  7.972998E+001	  6.268537E+001
         2.5000	  7.983179E+001	  6.287511E+001
         2.6000	  7.997107E+001	  6.347018E+001
         2.7000	  7.995881E+001	  6.416356E+001
         2.8000	  7.980324E+001	  6.186380E+001
         2.9000	  7.967518E+001	  6.122766E+001
         3.0000	  7.968321E+001	  6.145334E+001
         3.1000	  7.981786E+001	  6.212882E+001
         3.2000	  7.992334E+001	  6.272289E+001
         3.3000	  7.983388E+001	  6.297081E+001
         3.4000	  7.962808E+001	  6.309078E+001
         3.5000	  7.953221E+001	  6.339138E+001
         3.6000	  7.964924E+001	  6.386535E+001
         3.7000	  7.986226E+001	  6.424867E+001
         3.8000	  7.992970E+001	  6.428080E+001
         3.9000	  7.978310E+001	  6.397709E+001
         4.0000	  7.961715E+001	  6.361377E+001
         4.1000	  7.962890E+001	  6.342102E+001
         4.2000	  7.982772E+001	  6.339014E+001
         4.3000	  8.001360E+001	  6.330375E+001
         4.4000	  7.997936E+001	  6.302406E+001
         4.5000	  7.979532E+001	  6.281306E+001
         4.6000	  7.968855E+001	  6.313822E+001
         4.7000	  7.975316E+001	  6.393565E+001
         4.8000	  7.990153E+001	  6.184339E+001
         4.9000	  7.994788E+001	  6.150623E+001
         5.0000	  7.983231E+001	  6.170442E+001
         5.1000	  7.970016E+001	  6.211746E+001
         5.2000	  7.966542E+001	  6.251930E+001
         5.3000	  7.971704E+001	  6.288219E+001
         5.4000	  7.977524E+001	  6.325834E+001
         5.5000	  7.976204E+001	  6.361686E+001
         5.6000	  7.971815E+001	  6.392083E+001
         5.7000	  7.971141E+001	  6.410591E+001
         5.8000	  7.972685E+001	  6.410564E+001
         5.9000	  7.975054E+001	  6.394747E+001
         6.0000	  7.977555E+001	  6.372599E+001
         6.1000	  7.979824E+001	  6.354740E+001
         6.2000	  7.983398E+001	  6.340348E+001
         6.3000	  7.985446E+001	  6.317877E+001
         6.4000	  7.984092E+001	  6.288456E+001
         6.5000	  7.982804E+001	  6.278329E+001
         6.6000	  7.983157E+001	  6.327741E+001
