
Predictions were generated on 09-Dec-2020 at 17:18:24 using AA AeroAcoustics (v1.00.00, 18-Aug-2016)

Number of observers      :    2;  Number of frequencies    :   34
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1_Freq10         	Obs1_Freq12.5       	Obs1_Freq16         	Obs1_Freq20         	Obs1_Freq25         	Obs1_Freq31.5       	Obs1_Freq40         	Obs1_Freq50         	Obs1_Freq63         	Obs1_Freq80         	Obs1_Freq100        	Obs1_Freq125        	Obs1_Freq160        	Obs1_Freq200        	Obs1_Freq250        	Obs1_Freq315        	Obs1_Freq400        	Obs1_Freq500        	Obs1_Freq630        	Obs1_Freq800        	Obs1_Freq1000       	Obs1_Freq1250       	Obs1_Freq1600       	Obs1_Freq2000       	Obs1_Freq2500       	Obs1_Freq3150       	Obs1_Freq4000       	Obs1_Freq5000       	Obs1_Freq6300       	Obs1_Freq8000       	Obs1_Freq10000      	Obs1_Freq12500      	Obs1_Freq16000      	Obs1_Freq20000      	Obs2_Freq10         	Obs2_Freq12.5       	Obs2_Freq16         	Obs2_Freq20         	Obs2_Freq25         	Obs2_Freq31.5       	Obs2_Freq40         	Obs2_Freq50         	Obs2_Freq63         	Obs2_Freq80         	Obs2_Freq100        	Obs2_Freq125        	Obs2_Freq160        	Obs2_Freq200        	Obs2_Freq250        	Obs2_Freq315        	Obs2_Freq400        	Obs2_Freq500        	Obs2_Freq630        	Obs2_Freq800        	Obs2_Freq1000       	Obs2_Freq1250       	Obs2_Freq1600       	Obs2_Freq2000       	Obs2_Freq2500       	Obs2_Freq3150       	Obs2_Freq4000       	Obs2_Freq5000       	Obs2_Freq6300       	Obs2_Freq8000       	Obs2_Freq10000      	Obs2_Freq12500      	Obs2_Freq16000      	Obs2_Freq20000      
      (s)           	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 
         0.0000	  2.729387E+001	  2.944807E+001	  3.177798E+001	  3.386697E+001	  3.595989E+001	  3.812469E+001	  4.028254E+001	  4.217153E+001	  4.398972E+001	  4.575299E+001	  4.733255E+001	  4.865621E+001	  4.903992E+001	  4.789100E+001	  4.587901E+001	  4.420166E+001	  4.312231E+001	  4.347590E+001	  4.715425E+001	  5.001892E+001	  5.087509E+001	  5.235891E+001	  3.758288E+001	  3.190167E+001	  3.002529E+001	  2.821140E+001	  2.617205E+001	  2.426079E+001	  2.224242E+001	  2.007363E+001	  1.794774E+001	  1.570808E+001	  1.307918E+001	  1.054898E+001	  1.220533E+001	  1.430773E+001	  1.664161E+001	  1.876876E+001	  2.091376E+001	  2.309171E+001	  2.505417E+001	  2.657785E+001	  2.798860E+001	  2.939656E+001	  3.073108E+001	  3.189791E+001	  3.212076E+001	  3.095598E+001	  2.910098E+001	  2.760961E+001	  2.663356E+001	  2.698607E+001	  3.046786E+001	  3.280163E+001	  3.181493E+001	  3.354877E+001	  1.921176E+001	  1.410246E+001	  1.220561E+001	  1.032787E+001	  8.236018E+000	  6.258215E+000	  4.159807E+000	  1.903579E+000	 -3.047889E-001	 -2.625592E+000	 -5.340586E+000	 -7.943524E+000
         0.1000	  7.342619E+001	  7.250851E+001	  7.138736E+001	  7.027356E+001	  6.905903E+001	  6.768875E+001	  6.614523E+001	  6.458228E+001	  6.283809E+001	  6.092007E+001	  5.902209E+001	  5.707562E+001	  5.484861E+001	  5.276791E+001	  5.097184E+001	  4.900108E+001	  4.715706E+001	  4.577266E+001	  4.631288E+001	  5.000175E+001	  5.450168E+001	  5.372097E+001	  3.906638E+001	  3.306706E+001	  3.075602E+001	  2.866445E+001	  2.642516E+001	  2.436707E+001	  2.221777E+001	  1.993369E+001	  1.772670E+001	  1.544046E+001	  1.280548E+001	  1.030956E+001	  5.436720E+001	  5.343289E+001	  5.229156E+001	  5.115783E+001	  4.992180E+001	  4.852902E+001	  4.695880E+001	  4.537855E+001	  4.362686E+001	  4.189413E+001	  4.020361E+001	  3.875184E+001	  3.683340E+001	  3.456512E+001	  3.355616E+001	  3.149738E+001	  2.975022E+001	  2.872252E+001	  3.008041E+001	  3.411504E+001	  3.768137E+001	  3.590996E+001	  2.163096E+001	  1.619032E+001	  1.392891E+001	  1.179371E+001	  9.485105E+000	  7.318823E+000	  5.032225E+000	  2.596488E+000	  2.494411E-001	 -2.167134E+000	 -4.927071E+000	 -7.513997E+000
         0.2000	  7.360318E+001	  7.268906E+001	  7.157204E+001	  7.046219E+001	  6.925184E+001	  6.788606E+001	  6.634731E+001	  6.478855E+001	  6.304815E+001	  6.113076E+001	  5.923254E+001	  5.728273E+001	  5.505760E+001	  5.298176E+001	  5.117391E+001	  4.923436E+001	  4.743756E+001	  4.599282E+001	  4.634931E+001	  5.029901E+001	  5.396610E+001	  5.419063E+001	  3.942735E+001	  3.323528E+001	  3.088886E+001	  2.879295E+001	  2.655134E+001	  2.449550E+001	  2.235267E+001	  2.007836E+001	  1.788209E+001	  1.560701E+001	  1.298365E+001	  1.049688E+001	  5.484683E+001	  5.392334E+001	  5.279446E+001	  5.167271E+001	  5.044963E+001	  4.907210E+001	  4.751719E+001	  4.595719E+001	  4.423462E+001	  4.265918E+001	  4.112695E+001	  3.994879E+001	  3.818230E+001	  3.583929E+001	  3.510472E+001	  3.308112E+001	  3.149463E+001	  3.043119E+001	  3.174671E+001	  3.625433E+001	  3.879085E+001	  3.775562E+001	  2.342919E+001	  1.791320E+001	  1.562641E+001	  1.347407E+001	  1.114580E+001	  8.956601E+000	  6.645180E+000	  4.185152E+000	  1.817862E+000	 -6.160200E-001	 -3.391538E+000	 -5.989470E+000
         0.3000	  7.356857E+001	  7.265366E+001	  7.153582E+001	  7.042530E+001	  6.921434E+001	  6.784803E+001	  6.630889E+001	  6.475025E+001	  6.300933E+001	  6.108900E+001	  5.918763E+001	  5.722878E+001	  5.500063E+001	  5.294553E+001	  5.114217E+001	  4.922895E+001	  4.741215E+001	  4.596554E+001	  4.639799E+001	  5.032770E+001	  5.350306E+001	  5.369393E+001	  3.906315E+001	  3.308765E+001	  3.077387E+001	  2.867970E+001	  2.644299E+001	  2.439440E+001	  2.226092E+001	  1.999745E+001	  1.781107E+001	  1.554400E+001	  1.292555E+001	  1.043867E+001	  5.533307E+001	  5.441740E+001	  5.329780E+001	  5.218538E+001	  5.097311E+001	  4.961020E+001	  4.807180E+001	  4.653821E+001	  4.485675E+001	  4.347660E+001	  4.212970E+001	  4.121520E+001	  3.958272E+001	  3.725170E+001	  3.681288E+001	  3.480630E+001	  3.320149E+001	  3.234355E+001	  3.412711E+001	  3.841718E+001	  4.007514E+001	  3.879320E+001	  2.477859E+001	  1.964091E+001	  1.739032E+001	  1.522681E+001	  1.288775E+001	  1.068514E+001	  8.358551E+000	  5.883575E+000	  3.503225E+000	  1.056188E+000	 -1.735646E+000	 -4.351119E+000
         0.4000	  7.346021E+001	  7.254298E+001	  7.142249E+001	  7.030943E+001	  6.909573E+001	  6.772635E+001	  6.618412E+001	  6.462174E+001	  6.287924E+001	  6.094997E+001	  5.904150E+001	  5.707145E+001	  5.483160E+001	  5.277463E+001	  5.094218E+001	  4.901020E+001	  4.719265E+001	  4.576055E+001	  4.632467E+001	  5.024034E+001	  5.383224E+001	  5.315266E+001	  3.865528E+001	  3.289674E+001	  3.062116E+001	  2.852941E+001	  2.629610E+001	  2.424556E+001	  2.210555E+001	  1.983233E+001	  1.763542E+001	  1.535745E+001	  1.272735E+001	  1.023058E+001	  5.583208E+001	  5.492062E+001	  5.380602E+001	  5.269896E+001	  5.149402E+001	  5.014440E+001	  4.865252E+001	  4.712267E+001	  4.564974E+001	  4.441623E+001	  4.330925E+001	  4.273169E+001	  4.121123E+001	  3.883980E+001	  3.865066E+001	  3.662375E+001	  3.503711E+001	  3.421050E+001	  3.668809E+001	  4.080385E+001	  4.214010E+001	  3.980847E+001	  2.621789E+001	  2.152404E+001	  1.931486E+001	  1.713522E+001	  1.477521E+001	  1.253841E+001	  1.016543E+001	  7.635902E+000	  5.202438E+000	  2.703560E+000	 -1.407594E-001	 -2.797454E+000
         0.5000	  7.337553E+001	  7.245698E+001	  7.133492E+001	  7.022030E+001	  6.900489E+001	  6.763356E+001	  6.608902E+001	  6.452474E+001	  6.277935E+001	  6.084952E+001	  5.894028E+001	  5.696887E+001	  5.472920E+001	  5.267832E+001	  5.084598E+001	  4.892443E+001	  4.707239E+001	  4.561894E+001	  4.632373E+001	  5.005252E+001	  5.387309E+001	  5.271469E+001	  3.830438E+001	  3.267653E+001	  3.042081E+001	  2.832801E+001	  2.609942E+001	  2.405410E+001	  2.191988E+001	  1.965258E+001	  1.746017E+001	  1.518443E+001	  1.255295E+001	  1.005093E+001	  5.590943E+001	  5.499345E+001	  5.387399E+001	  5.276366E+001	  5.155982E+001	  5.022743E+001	  4.879732E+001	  4.731867E+001	  4.618734E+001	  4.556130E+001	  4.488516E+001	  4.469238E+001	  4.329989E+001	  4.094033E+001	  4.090380E+001	  3.903466E+001	  3.754637E+001	  3.689786E+001	  3.958916E+001	  4.301121E+001	  4.415266E+001	  4.065720E+001	  2.765043E+001	  2.343562E+001	  2.124545E+001	  1.902459E+001	  1.661122E+001	  1.430005E+001	  1.183268E+001	  9.195025E+000	  6.656518E+000	  4.053996E+000	  1.102953E+000	 -1.638460E+000
         0.6000	  7.351854E+001	  7.259695E+001	  7.147097E+001	  7.035223E+001	  6.913212E+001	  6.775538E+001	  6.620475E+001	  6.463511E+001	  6.288643E+001	  6.096137E+001	  5.907217E+001	  5.714646E+001	  5.499736E+001	  5.306222E+001	  5.127997E+001	  4.927131E+001	  4.730062E+001	  4.591800E+001	  4.670264E+001	  5.011484E+001	  5.263828E+001	  5.224358E+001	  3.794215E+001	  3.247499E+001	  3.025855E+001	  2.819473E+001	  2.601456E+001	  2.402070E+001	  2.193942E+001	  1.971983E+001	  1.755927E+001	  1.529831E+001	  1.266078E+001	  1.013404E+001	  5.582734E+001	  5.490221E+001	  5.377480E+001	  5.266275E+001	  5.147245E+001	  5.020389E+001	  4.883507E+001	  4.777481E+001	  4.702998E+001	  4.843033E+001	  4.853977E+001	  4.879327E+001	  4.759750E+001	  4.541787E+001	  4.495150E+001	  4.302837E+001	  4.170851E+001	  4.150811E+001	  4.407728E+001	  4.595836E+001	  4.203789E+001	  4.115521E+001	  2.957385E+001	  2.619332E+001	  2.409073E+001	  2.190374E+001	  1.953450E+001	  1.724578E+001	  1.478122E+001	  1.211879E+001	  9.520833E+000	  6.813505E+000	  3.688275E+000	  7.410112E-001
         0.7000	  7.371904E+001	  7.279409E+001	  7.166385E+001	  7.054077E+001	  6.931609E+001	  6.793508E+001	  6.638225E+001	  6.481550E+001	  6.307994E+001	  6.119500E+001	  5.937923E+001	  5.757562E+001	  5.550670E+001	  5.346546E+001	  5.143512E+001	  4.926677E+001	  4.735624E+001	  4.662964E+001	  4.816396E+001	  4.957410E+001	  5.314040E+001	  5.192101E+001	  3.767326E+001	  3.229831E+001	  3.012428E+001	  2.810308E+001	  2.598010E+001	  2.403908E+001	  2.200471E+001	  1.982084E+001	  1.767936E+001	  1.542273E+001	  1.277366E+001	  1.022382E+001	  5.583845E+001	  5.491632E+001	  5.380135E+001	  5.271891E+001	  5.159743E+001	  5.048545E+001	  4.949798E+001	  4.902718E+001	  4.915753E+001	  5.104690E+001	  5.213146E+001	  5.322713E+001	  5.255516E+001	  4.987987E+001	  4.952036E+001	  4.661232E+001	  4.448476E+001	  4.503788E+001	  4.858895E+001	  4.888131E+001	  4.383612E+001	  4.367513E+001	  3.270376E+001	  2.966640E+001	  2.772751E+001	  2.573292E+001	  2.359814E+001	  2.153804E+001	  1.930449E+001	  1.685801E+001	  1.442467E+001	  1.183160E+001	  8.760269E+000	  5.788228E+000
         0.8000	  7.393729E+001	  7.301907E+001	  7.189646E+001	  7.078071E+001	  6.956421E+001	  6.819391E+001	  6.665872E+001	  6.512452E+001	  6.346317E+001	  6.172445E+001	  6.004918E+001	  5.822853E+001	  5.593884E+001	  5.366777E+001	  5.156376E+001	  4.952071E+001	  4.818997E+001	  4.869993E+001	  5.000310E+001	  4.455220E+001	  5.300529E+001	  5.183126E+001	  3.761890E+001	  3.221873E+001	  2.997427E+001	  2.789308E+001	  2.572866E+001	  2.377242E+001	  2.174067E+001	  1.957154E+001	  1.744976E+001	  1.521538E+001	  1.259174E+001	  1.006441E+001	  5.585480E+001	  5.494160E+001	  5.383018E+001	  5.273699E+001	  5.157365E+001	  5.034097E+001	  4.911325E+001	  4.820507E+001	  4.785370E+001	  4.795403E+001	  4.737961E+001	  4.650225E+001	  4.441209E+001	  4.148733E+001	  4.009054E+001	  3.847803E+001	  3.874499E+001	  4.077465E+001	  4.088299E+001	  3.196169E+001	  3.758539E+001	  3.727080E+001	  2.487879E+001	  2.116337E+001	  1.914998E+001	  1.710819E+001	  1.490484E+001	  1.277879E+001	  1.047122E+001	  7.945175E+000	  5.445460E+000	  2.808482E+000	 -2.657179E-001	 -3.182595E+000
